"","latitude","longitude","name","cuisine","price","rating","review_count","neighborhood","borough"
"182",40.8546515,-73.8883526,"Trattoria Zero Otto Nove","italian","$$",4,700,"Belmont","Bronx"
"183",40.776317,-73.979187,"Pomodoro Rosso","italian","$$",3.5,282,"Upper West Side","Manhattan"
"184",40.7326,-73.98515,"Mani In Pasta","italian","$$",4.5,56,"Gramercy","Manhattan"
"185",40.7434155953035,-74.007533013261,"Del Posto","italian","$$$$",4,1377,"Chelsea","Manhattan"
"186",40.7189865112305,-73.9969329833984,"Margherita NYC","italian","$$",4,272,"Little Italy","Manhattan"
"187",40.719907,-73.997294,"La Mela Ristorante","italian","$$",3.5,727,"Little Italy","Manhattan"
"188",40.7503815541938,-73.9883,"Stella 34 Trattoria","italian","$$",3.5,637,"Midtown","Manhattan"
"189",40.7713240506196,-73.953663110733,"Maruzzella","italian","$$",4,88,"Upper East Side","Manhattan"
"190",40.72406,-73.98226,"Lavagna","italian","$$$",4,363,"East Village","Manhattan"
"191",40.7763330374196,-73.9105868339539,"Trattoria L'incontro","italian","$$$",4.5,865,"Ditmars Steinway","Queens"
"192",40.7988462,-73.967065,"Arco Cafe","italian","$$",4,240,"Upper West Side","Manhattan"
"193",40.7801684,-73.9502899,"San Matteo Takeaway","italian","$$",4.5,136,"Upper East Side","Manhattan"
"194",40.716579,-73.951174,"Bamonte's","italian","$$",4,316,"Williamsburg","Brooklyn"
"195",40.63,-74.02274,"Gino's Restaurant","italian","$$",4,587,"Bay Ridge","Brooklyn"
"196",40.72229,-74.00403,"Sola Pasta Bar","italian","$$",4,150,"SoHo","Manhattan"
"197",40.723543,-74.003199,"Aurora Soho","italian","$$$",4,424,"SoHo","Manhattan"
"198",40.790206,-73.9749174,"Cibo E Vino","italian","$$",4,283,"Upper West Side","Manhattan"
"199",40.7392469,-74.0016882,"Crispo","italian","$$$",4,916,"West Village","Manhattan"
"200",40.72896,-73.98454,"Tarallucci e Vino - East Village","italian","$$",4,267,"East Village","Manhattan"
"201",40.76751,-73.95288,"Finestra Restaurant","italian","$$",4,76,"Upper East Side","Manhattan"
"202",40.72879,-74.00165,"Dante","italian","$$",4,246,"Greenwich Village","Manhattan"
"203",40.7074747,-74.0020404,"Barbalu Restaurant","italian","$$",4,250,"Financial District","Manhattan"
"204",40.71832,-73.99794,"Da Gennaro","italian","$$",4,800,"Little Italy","Manhattan"
"205",40.775478,-73.947847,"Arturo's","italian","$$$",4,58,"Upper East Side","Manhattan"
"206",40.71293,-73.95787,"Fiore","italian","$$",4,406,"Williamsburg","Brooklyn"
"207",40.77965,-73.94695,"Pinocchio Restaurant","italian","$$$",4,200,"Upper East Side","Manhattan"
"208",40.72859,-74.002,"Villa Mosconi","italian","$$",4,177,"Greenwich Village","Manhattan"
"209",40.743843,-73.856118,"Park Side Restaurant","italian","$$$",4,660,"Corona","Queens"
"210",40.80174,-74.00698,"Trattoria La Sorrentina","italian","$$",4.5,495,NA,NA
"211",40.811302,-73.958183,"Max Soha","italian","$$",4,394,"Morningside Heights","Manhattan"
"212",40.79178,-73.9718,"Gennaro","italian","$$",3.5,366,"Upper West Side","Manhattan"
"213",40.85434,-73.889,"Dominick's Restaurant","italian","$$",4,312,"Belmont","Bronx"
"214",40.76273,-73.97155,"Serafina Osteria","italian","$$",3.5,118,"Midtown","Manhattan"
"215",40.708324,-73.946988,"Testo","italian","$$",4.5,176,"Williamsburg","Brooklyn"
"216",40.768817,-73.954833,"Campagnola Restaurant","italian","$$$",4,225,"Upper East Side","Manhattan"
"217",40.7467827,-73.9806507,"Villa Berulia","italian","$$$",4,143,"Murray Hill","Manhattan"
"218",40.71928,-74.00647,"Terra Wine Bar","italian","$$",3.5,333,"Tribeca","Manhattan"
"219",40.74706,-74.15431,"La Fiamma","italian","$$",4.5,99,NA,NA
"220",40.7635099,-73.978,"Pazza Notte","italian","$$",3.5,698,"Midtown","Manhattan"
"221",40.8141032,-73.9597766,"Bettolona","italian","$$",4,284,"Morningside Heights","Manhattan"
"222",40.77277,-73.96514,"Via Quadronno","italian","$$",4,490,"Upper East Side","Manhattan"
"223",40.7372,-73.99919,"Sotto 13","italian","$$",4,821,"West Village","Manhattan"
"224",40.72666,-73.9773,"Fiaschetteria Pistoia","italian","$$",4.5,125,"East Village","Manhattan"
"225",40.7506055,-73.9721964,"Pietro's","italian","$$$",4,101,"Midtown","Manhattan"
"226",40.74635,-73.98494,"Massoni","italian","$$$",4,211,"Midtown","Manhattan"
"227",40.7877696714384,-73.9538384601474,"Da Capo","italian","$$",4.5,183,"East Harlem","Manhattan"
"228",40.725639,-73.991714,"Bar Primi","italian","$$",3.5,546,"East Village","Manhattan"
"229",40.733253210783,-73.9898487925529,"Mi Garba","italian","$$",4,128,"East Village","Manhattan"
"230",40.71876,-74.006056,"Tutto il Giorno","italian","$$$",3.5,79,"Tribeca","Manhattan"
"231",40.75373,-73.96749,"Il Postino","italian","$$$$",3.5,108,"Midtown","Manhattan"
"232",40.8015,-73.96534,"La Piccola Cucina","italian","$$",4,103,"Upper West Side","Manhattan"
"233",40.8015,-73.96534,"La Piccola Cucina","italian","$$",4,103,"Upper West Side","Manhattan"
"234",40.72667,-73.9836,"Tramonti La Pizza","italian","$$",4.5,95,"East Village","Manhattan"
"235",40.7290911050589,-74.0003699151971,"Senza Gluten","italian","$$",4,498,"Greenwich Village","Manhattan"
"236",40.72191,-73.98768,"Taverna Di Bacco","italian","$$",4,248,"Lower East Side","Manhattan"
"237",40.7525199,-73.97092,"Ristorante Grifone","italian","$$$",4,108,"Midtown","Manhattan"
"238",40.7273563342024,-74.0004944801331,"Arturo's","italian","$$",4,627,"Greenwich Village","Manhattan"
"239",40.75716,-73.96864,"Antico Noe","italian","$$",4.5,164,"Midtown","Manhattan"
"240",40.6595993041992,-73.8433990478516,"Bruno's Ristorante","italian","$$",4.5,165,"Howard Beach","Queens"
"241",40.718477,-74.004802,"Da Mikele by Luzzo's","italian","$$",4,329,"Tribeca","Manhattan"
"242",40.75744,-73.99357,"Capizzi","italian","$$",4.5,736,"Hell's Kitchen","Manhattan"
"243",40.715621,-73.964757,"Aurora","italian","$$",4,552,"Williamsburg","Brooklyn"
"244",40.7315434396639,-74.0006124973297,"Volare Restaurant","italian","$$$",4.5,120,"Greenwich Village","Manhattan"
"245",40.73483,-73.98282,"Posto","italian","$$",4,581,"Gramercy","Manhattan"
"246",40.74165,-73.98154,"Coppola's East","italian","$$",3.5,294,"Kips Bay","Manhattan"
"247",40.6689814908178,-73.8216334221041,"Don Peppe","italian","$$$",4,526,"South Ozone Park","Queens"
"248",40.7358,-74.00036,"Gottino","italian","$$",4,284,"West Village","Manhattan"
